t	F18
14.25	44556
14.26	44390
14.27	44233
14.28	44051
14.29	43873
14.3	43715
14.31	43550
14.32	43399
14.33	43238
14.34	43075
14.35	42929
14.36	42770
14.37	42605
14.38	42434
14.39	42282
14.4	42120
14.41	41949
14.42	41796
14.43	41625
14.44	41476
14.45	41317
14.46	41169
14.47	41008
14.48	40861
14.49	40689
14.5	40553
14.51	40390
14.52	40245
14.53	40104
14.54	39955
14.55	39801
14.56	39631
14.57	39472
14.58	39322
14.59	39161
14.6	38994
14.61	38867
14.62	38712
14.63	38577
14.64	38439
14.65	38284
14.66	38139
14.67	38018
14.68	37873
14.69	37726
14.7	37590
14.71	37454
14.72	37298
14.73	37166
14.74	37019
14.75	36892
14.76	36754
14.77	36610
14.78	36476
14.79	36340
14.8	36200
14.81	36072
14.82	35941
14.83	35804
14.84	35677
14.85	35533
14.86	35383
14.87	35240
14.88	35132
14.89	34983
14.9	34835
14.91	34715
14.92	34597
14.93	34452
14.94	34353
14.95	34222
14.96	34083
14.97	33956
14.98	33845
14.99	33730
15	33592
15.01	33469
15.02	33351
15.03	33241
15.04	33092
15.05	32951
15.06	32826
15.07	32714
15.08	32588
15.09	32468
15.1	32349
15.11	32245
15.12	32120
15.13	31994
15.14	31856
15.15	31738
15.16	31601
15.17	31494
15.18	31377
15.19	31264
15.2	31145
15.21	31004
15.22	30886
15.23	30775
15.24	30638
15.25	30529
15.26	30415
15.27	30302
15.28	30193
15.29	30076
15.3	29948
15.31	29833
15.32	29736
15.33	29618
15.34	29517
15.35	29403
15.36	29290
15.37	29167
15.38	29048
15.39	28940
15.4	28829
15.41	28721
15.42	28605
15.43	28503
15.44	28369
15.45	28253
15.46	28140
15.47	28034
15.48	27939
15.49	27855
15.5	27748
15.51	27645
15.52	27541
15.53	27436
15.54	27344
15.55	27248
15.56	27151
15.57	27060
15.58	26961
15.59	26857
15.6	26757
15.61	26657
15.62	26547
15.63	26427
15.64	26320
15.65	26213
15.66	26091
15.67	25999
15.68	25900
15.69	25800
15.7	25709
15.71	25622
15.72	25521
15.73	25413
15.74	25313
15.75	25215
15.76	25123
15.77	25043
15.78	24928
15.79	24847
15.8	24738
15.81	24634
15.82	24546
15.83	24459
15.84	24352
15.85	24253
15.86	24152
15.87	24061
15.88	23974
15.89	23874
15.9	23780
15.91	23689
15.92	23593
15.93	23509
15.94	23435
15.95	23331
15.96	23245
15.97	23176
15.98	23092
15.99	23007
16	22928
16.01	22840
16.02	22741
16.03	22655
16.04	22575
16.05	22480
16.06	22414
16.07	22313
16.08	22218
16.09	22134
16.1	22058
16.11	21972
16.12	21899
16.13	21828
16.14	21739
16.15	21652
16.16	21574
16.17	21503
16.18	21418
16.19	21331
16.2	21251
16.21	21173
16.22	21095
16.23	21020
16.24	20948
16.25	20857
16.26	20777
16.27	20718
16.28	20645
16.29	20577
16.3	20481
16.31	20407
16.32	20319
16.33	20237
16.34	20166
16.35	20086
16.36	20010
16.37	19937
16.38	19850
16.39	19776
16.4	19700
16.41	19634
16.42	19555
